Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;China;2020-03-18T12:13:09;67800;3122;56927
;Italy;2020-03-18T17:33:05;35713;2978;4025
;Iran;2020-03-18T12:33:02;17361;1135;5389
;Spain;2020-03-18T13:13:13;13910;623;1081
;Germany;2020-03-18T19:33:02;12327;28;105
France;France;2020-03-18T18:33:02;9043;148;12
;Korea, South;2020-03-18T02:53:03;8413;84;1540
;Switzerland;2020-03-18T14:53:05;3028;28;15
United Kingdom;United Kingdom;2020-03-18T14:53:05;2626;71;65
New York;US;2020-03-18T19:33:03;2495;16;0
Netherlands;Netherlands;2020-03-18T13:13:15;2051;58;2
;Austria;2020-03-18T14:53:05;1646;4;9
;Norway;2020-03-18T15:53:09;1550;6;1
;Belgium;2020-03-18T12:33:02;1486;14;31
Guangdong;China;2020-03-18T08:53:03;1370;8;1313
;Sweden;2020-03-18T17:53:02;1279;10;1
Henan;China;2020-03-14T09:53:08;1273;22;1250
Zhejiang;China;2020-03-17T02:13:21;1232;1;1216
Denmark;Denmark;2020-03-18T16:59:35;1057;4;1
Hunan;China;2020-03-14T08:33:03;1018;4;1014
Washington;US;2020-03-18T14:13:56;1014;55;0
Anhui;China;2020-03-11T02:18:14;990;6;984
Jiangxi;China;2020-03-12T02:13:04;935;1;934
;Japan;2020-03-18T12:33:02;889;29;144
;Malaysia;2020-03-18T10:33:04;790;2;60
Shandong;China;2020-03-17T00:33:02;761;7;746
California;US;2020-03-18T19:14:34;751;13;0
Diamond Princess;Cruise Ship;2020-03-18T10:33:04;712;7;325
Jiangsu;China;2020-03-15T01:53:02;631;0;631
Chongqing;China;2020-03-15T03:53:04;576;6;570
Sichuan;China;2020-03-18T02:13:05;540;3;525
Heilongjiang;China;2020-03-18T11:53:03;482;13;459
Beijing;China;2020-03-18T05:33:05;469;8;378
;Czechia;2020-03-18T10:33:04;464;0;3
;Qatar;2020-03-18T19:14:29;452;0;4
;Portugal;2020-03-18T12:33:02;448;2;3
;Israel;2020-03-18T14:33:15;433;0;11
;Greece;2020-03-18T16:59:34;418;5;8
;Brazil;2020-03-18T19:14:29;372;3;2
Shanghai;China;2020-03-18T05:53:25;361;3;326
;Finland;2020-03-18T13:13:13;336;0;10
Hebei;China;2020-03-13T11:09:03;318;6;310
Florida;US;2020-03-18T19:14:34;314;7;0
;Singapore;2020-03-18T13:33:12;313;0;114
;Pakistan;2020-03-18T19:14:29;299;0;2
Fujian;China;2020-03-11T02:18:14;296;1;295
;Ireland;2020-03-18T03:13:12;292;2;5
;Slovenia;2020-03-17T16:53:04;275;1;0
New South Wales;Australia;2020-03-18T12:13:09;267;5;4
New Jersey;US;2020-03-18T14:13:56;267;3;0
;Romania;2020-03-18T16:59:34;260;0;19
;Estonia;2020-03-18T10:33:04;258;0;1
