Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;China;2020-03-12T09:53:06;67781;3056;50318
;Italy;2020-03-11T21:33:02;12462;827;1045
;Iran;2020-03-12T11:13:27;10075;429;2959
;Korea, South;2020-03-12T05:13:02;7869;66;333
France;France;2020-03-11T22:53:03;2281;48;12
;Spain;2020-03-12T01:17:58;2277;55;183
;Germany;2020-03-12T09:53:06;2078;3;25
Guangdong;China;2020-03-12T03:53:02;1356;8;1289
Henan;China;2020-03-11T08:13:09;1273;22;1249
Zhejiang;China;2020-03-12T01:33:02;1215;1;1197
Hunan;China;2020-03-12T09:53:06;1018;4;999
Anhui;China;2020-03-11T02:18:14;990;6;984
Jiangxi;China;2020-03-12T02:13:04;935;1;934
Shandong;China;2020-03-12T07:53:02;760;6;734
;Norway;2020-03-12T13:13:31;702;0;1
Diamond Princess;Cruise Ship;2020-03-11T22:13:12;696;7;325
;Switzerland;2020-03-11T20:53:02;652;4;4
;Japan;2020-03-12T05:13:02;639;16;118
Jiangsu;China;2020-03-12T05:13:02;631;0;629
Denmark;Denmark;2020-03-12T09:53:06;615;0;1
;Sweden;2020-03-12T21:39:09;599;1;1
Chongqing;China;2020-03-12T23:44:32;576;6;564
Sichuan;China;2020-03-12T12:13:07;539;3;498
;Netherlands;2020-03-11T14:13:11;503;5;0
Heilongjiang;China;2020-03-12T13:13:31;482;13;441
UK;United Kingdom;2020-03-11T21:33:03;456;8;18
Washington;US;2020-03-12T23:44:33;442;31;1
Beijing;China;2020-03-12T01:13:05;435;8;334
Shanghai;China;2020-03-12T07:53:02;344;3;321
New York;US;2020-03-12T21:39:10;328;0;0
Hebei;China;2020-03-12T05:33:02;318;6;308
;Belgium;2020-03-11T18:52:03;314;3;1
;Austria;2020-03-12T11:13:29;302;1;4
Fujian;China;2020-03-11T02:18:14;296;1;295
;Qatar;2020-03-11T18:52:03;262;0;0
Guangxi;China;2020-03-12T00:33:06;252;2;241
Shaanxi;China;2020-03-12T01:33:02;245;2;232
California;US;2020-03-12T23:44:33;221;4;6
;Bahrain;2020-03-11T22:33:03;195;0;35
;Singapore;2020-03-11T13:53:24;178;0;96
Yunnan;China;2020-03-11T02:18:14;174;2;170
Hainan;China;2020-03-12T03:53:02;168;6;160
;Malaysia;2020-03-11T11:33:08;149;0;26
Guizhou;China;2020-03-12T01:13:06;146;2;137
Tianjin;China;2020-03-12T01:53:03;136;3;132
Shanxi;China;2020-03-12T09:13:24;133;0;132
;Israel;2020-03-12T21:39:09;131;0;4
Hong Kong;China;2020-03-12T01:53:02;129;3;67
Gansu;China;2020-03-11T14:33:03;127;2;88
Liaoning;China;2020-03-12T09:53:06;125;1;112
Massachusetts;US;2020-03-12T21:39:09;108;0;1
;Iceland;2020-03-12T21:39:09;103;0;1
;Greece;2020-03-11T23:53:02;99;1;0
