Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;Mainland China;2020-03-09T14:33:03;67743;3008;46488
;Italy;2020-03-09T18:13:11;9172;463;724
;South Korea;2020-03-09T09:03:03;7478;53;118
;Iran;2020-03-09T10:53:03;7161;237;2394
Guangdong;Mainland China;2020-03-09T01:43:01;1352;8;1260
Henan;Mainland China;2020-03-08T05:03:02;1272;22;1247
Zhejiang;Mainland China;2020-03-09T09:43:03;1215;1;1176
;France;2020-03-09T00:43:03;1209;19;12
;Germany;2020-03-09T18:13:11;1176;2;18
;Spain;2020-03-09T18:13:11;1073;28;32
Hunan;Mainland China;2020-03-09T01:33:06;1018;4;979
Anhui;Mainland China;2020-03-08T05:13:06;990;6;984
Jiangxi;Mainland China;2020-03-09T01:53:01;935;1;923
Shandong;Mainland China;2020-03-09T10:13:06;758;6;700
Diamond Princess cruise ship;Others;2020-03-06T01:29:39;696;6;40
Jiangsu;Mainland China;2020-03-09T08:53:03;631;0;621
Chongqing;Mainland China;2020-03-09T23:13:03;576;6;542
Sichuan;Mainland China;2020-03-09T08:53:03;539;3;466
;Japan;2020-03-09T09:13:17;511;17;76
Heilongjiang;Mainland China;2020-03-09T14:33:03;481;13;430
Beijing;Mainland China;2020-03-09T01:53:01;428;8;315
;Switzerland;2020-03-09T11:33:10;374;2;3
Shanghai;Mainland China;2020-03-09T04:03:11;342;3;315
;Netherlands;2020-03-09T18:13:11;321;3;0
;UK;2020-03-09T18:33:03;321;4;18
Hebei;Mainland China;2020-03-07T13:03:05;318;6;307
Fujian;Mainland China;2020-03-07T13:03:05;296;1;295
Guangxi;Mainland China;2020-03-09T00:23:09;252;2;230
;Sweden;2020-03-09T18:33:03;248;0;1
Shaanxi;Mainland China;2020-03-08T14:43:03;245;1;227
;Belgium;2020-03-09T10:43:05;239;0;1
;Norway;2020-03-09T18:33:03;205;0;1
Yunnan;Mainland China;2020-03-06T03:23:06;174;2;170
Hainan;Mainland China;2020-03-08T04:33:02;168;6;159
;Singapore;2020-03-08T13:33:13;150;0;78
Guizhou;Mainland China;2020-03-09T01:13:05;146;2;123
Tianjin;Mainland China;2020-03-09T10:13:06;136;3;130
Shanxi;Mainland China;2020-03-09T11:43:02;133;0;127
;Austria;2020-03-09T18:33:03;131;0;2
Liaoning;Mainland China;2020-03-08T05:13:06;125;1;109
Gansu;Mainland China;2020-03-09T14:33:03;124;2;88
;Malaysia;2020-03-09T09:43:03;117;0;24
Hong Kong;Hong Kong;2020-03-09T10:03:17;115;3;59
Westchester County, NY;US;2020-03-09T17:13:16;98;0;0
;Bahrain;2020-03-09T10:03:17;95;0;14
Jilin;Mainland China;2020-03-09T14:33:03;93;1;91
;Denmark;2020-03-09T18:13:11;90;0;1
King County, WA;US;2020-03-08T20:23:09;83;17;1
Xinjiang;Mainland China;2020-03-08T05:33:02;76;3;73
Inner Mongolia;Mainland China;2020-03-08T05:13:06;75;1;70
Ningxia;Mainland China;2020-03-06T12:53:03;75;0;71
;Greece;2020-03-08T17:23:07;73;0;0
;Kuwait;2020-03-08T15:33:04;64;0;1
;Iraq;2020-03-09T23:33:02;60;6;9
;Iceland;2020-03-09T10:03:17;58;0;0
;Egypt;2020-03-09T10:03:17;55;1;12
;Thailand;2020-03-07T10:13:23;50;1;31
New South Wales;Australia;2020-03-09T18:53:13;48;3;4
Taiwan;Taiwan;2020-03-09T00:33:14;45;1;15
Unassigned Location (From Diamond Princess);US;2020-03-02T19:53:03;45;0;0
;United Arab Emirates;2020-03-07T10:13:22;45;0;7
;India;2020-03-09T09:13:17;43;0;3
;Israel;2020-03-08T21:03:03;39;0;2
Santa Clara County, CA;US;2020-03-08T21:23:03;38;0;1
;San Marino;2020-03-08T14:23:10;36;1;0
Ontario;Canada;2020-03-09T17:53:24;34;0;4
British Columbia;Canada;2020-03-09T22:43:25;32;1;4
;Lebanon;2020-03-08T18:13:19;32;0;1
