Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;Mainland China;2020-03-04T12:53:03;67332;2871;38557
;South Korea;2020-03-04T19:23:03;5621;35;41
;Italy;2020-03-04T19:23:03;3089;107;276
;Iran;2020-03-04T12:33:03;2922;92;552
Guangdong;Mainland China;2020-03-04T10:03:19;1350;7;1133
Henan;Mainland China;2020-03-04T00:33:05;1272;22;1234
Zhejiang;Mainland China;2020-03-04T10:03:19;1213;1;1114
Hunan;Mainland China;2020-03-04T15:43:02;1018;4;916
Anhui;Mainland China;2020-03-04T10:03:19;990;6;956
Jiangxi;Mainland China;2020-03-04T01:33:07;935;1;884
Shandong;Mainland China;2020-03-04T12:53:03;758;6;516
Diamond Princess cruise ship;Others;2020-03-03T03:13:06;706;6;10
Jiangsu;Mainland China;2020-03-04T12:53:03;631;0;577
Chongqing;Mainland China;2020-03-04T23:23:01;576;6;502
Sichuan;Mainland China;2020-03-04T12:53:03;538;3;406
Heilongjiang;Mainland China;2020-03-04T12:53:03;480;13;373
Beijing;Mainland China;2020-03-04T23:23:01;418;8;297
Shanghai;Mainland China;2020-03-04T04:13:08;338;3;298
;Japan;2020-03-04T19:23:03;331;6;43
Hebei;Mainland China;2020-03-04T10:03:19;318;6;301
Fujian;Mainland China;2020-03-04T12:53:03;296;1;270
;France;2020-03-04T20:43:02;285;4;12
;Germany;2020-03-04T19:33:03;262;0;16
Guangxi;Mainland China;2020-03-04T00:13:08;252;2;210
Shaanxi;Mainland China;2020-03-04T15:43:03;245;1;223
;Spain;2020-03-04T20:43:02;222;2;2
Yunnan;Mainland China;2020-03-03T03:43:02;174;2;169
Hainan;Mainland China;2020-03-04T10:03:19;168;5;158
Guizhou;Mainland China;2020-03-02T01:13:06;146;2;114
Tianjin;Mainland China;2020-03-03T11:43:02;136;3;124
Shanxi;Mainland China;2020-03-03T23:13:05;133;0;124
Liaoning;Mainland China;2020-03-03T14:33:03;125;1;106
;Singapore;2020-03-03T15:23:03;110;0;78
Hong Kong;Hong Kong;2020-03-04T23:23:01;105;2;37
Jilin;Mainland China;2020-03-04T10:03:19;93;1;86
Gansu;Mainland China;2020-03-04T15:43:03;91;2;87
;Switzerland;2020-03-04T19:33:03;90;0;3
;UK;2020-03-04T19:33:03;85;0;8
Xinjiang;Mainland China;2020-03-04T15:43:03;76;3;69
Inner Mongolia;Mainland China;2020-03-04T15:43:03;75;1;63
Ningxia;Mainland China;2020-03-04T01:33:07;75;0;69
;Kuwait;2020-03-02T20:33:02;56;0;0
;Norway;2020-03-04T19:33:03;56;0;0
;Bahrain;2020-03-04T19:33:03;52;0;0
;Malaysia;2020-03-04T13:03:08;50;0;22
Unassigned Location (From Diamond Princess);US;2020-03-02T19:53:03;45;0;0
;Thailand;2020-03-02T06:23:04;43;1;31
Taiwan;Taiwan;2020-03-03T06:43:02;42;1;12
;Netherlands;2020-03-04T12:33:03;38;0;0
;Iraq;2020-03-04T20:43:02;35;2;0
;Sweden;2020-03-04T12:33:03;35;0;0
King County, WA;US;2020-03-04T19:53:02;31;9;1
;Austria;2020-03-04T19:33:03;29;0;0
;India;2020-03-04T12:33:03;28;0;3
;United Arab Emirates;2020-03-03T23:43:02;27;0;5
;Iceland;2020-03-04T19:33:03;26;0;0
;Belgium;2020-03-04T12:33:03;23;0;1
New South Wales;Australia;2020-03-04T20:43:03;22;1;4
Toronto, ON;Canada;2020-03-03T20:03:08;19;0;2
Qinghai;Mainland China;2020-02-21T04:43:02;18;0;18
;San Marino;2020-03-04T19:33:03;16;1;0
;Vietnam;2020-02-25T08:53:02;16;0;16
;Israel;2020-03-04T12:43:03;15;0;1
;Oman;2020-03-04T19:33:03;15;0;2
;Lebanon;2020-03-04T16:53:02;13;0;1
;Algeria;2020-03-04T19:33:03;12;0;0
British Columbia;Canada;2020-03-04T04:23:05;12;0;3
Queensland;Australia;2020-03-03T15:23:03;11;0;1
Santa Clara, CA;US;2020-03-03T23:33:03;11;0;1
Victoria;Australia;2020-03-04T12:43:03;10;0;4
;Croatia;2020-03-04T16:53:02;10;0;0
