Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;China;2020-03-11T10:53:02;67773;3046;49134
;Italy;2020-03-11T21:33:02;12462;827;1045
;Iran;2020-03-11T18:52:03;9000;354;2959
;Korea, South;2020-03-11T21:13:18;7755;60;288
France;France;2020-03-11T22:53:03;2281;48;12
;Spain;2020-03-11T20:53:02;2277;54;183
;Germany;2020-03-11T19:13:17;1908;3;25
Guangdong;China;2020-03-11T10:13:06;1356;8;1282
Henan;China;2020-03-11T08:13:09;1273;22;1249
Zhejiang;China;2020-03-11T09:33:12;1215;1;1195
Hunan;China;2020-03-11T02:18:14;1018;4;995
Anhui;China;2020-03-11T02:18:14;990;6;984
Jiangxi;China;2020-03-11T02:18:14;935;1;932
Shandong;China;2020-03-11T11:33:07;760;6;726
Diamond Princess;Cruise Ship;2020-03-11T22:13:12;696;7;325
;Switzerland;2020-03-11T20:53:02;652;4;4
;Japan;2020-03-11T21:33:03;639;15;118
Jiangsu;China;2020-03-11T02:18:14;631;0;627
;Norway;2020-03-11T19:33:02;598;0;1
Chongqing;China;2020-03-11T23:13:05;576;6;554
Sichuan;China;2020-03-11T14:33:03;539;3;488
;Netherlands;2020-03-11T14:13:11;503;5;0
;Sweden;2020-03-11T19:33:02;500;1;1
Heilongjiang;China;2020-03-11T11:33:07;482;13;436
UK;United Kingdom;2020-03-11T21:33:03;456;8;18
Denmark;Denmark;2020-03-11T22:13:13;442;0;1
Beijing;China;2020-03-11T02:18:14;435;8;326
Washington;US;2020-03-11T22:33:03;366;29;1
Shanghai;China;2020-03-11T03:13:07;344;3;320
Hebei;China;2020-03-11T02:18:14;318;6;307
;Belgium;2020-03-11T18:52:03;314;3;1
Fujian;China;2020-03-11T02:18:14;296;1;295
;Qatar;2020-03-11T18:52:03;262;0;0
Guangxi;China;2020-03-11T11:33:07;252;2;238
;Austria;2020-03-11T22:33:03;246;0;4
Shaanxi;China;2020-03-11T09:33:12;245;1;232
New York;US;2020-03-11T22:53:03;220;0;0
;Bahrain;2020-03-11T22:33:03;195;0;35
;Singapore;2020-03-11T13:53:24;178;0;96
California;US;2020-03-11T23:53:03;177;3;2
Yunnan;China;2020-03-11T02:18:14;174;2;170
Hainan;China;2020-03-11T02:18:14;168;6;159
;Malaysia;2020-03-11T11:33:08;149;0;26
Guizhou;China;2020-03-11T02:33:03;146;2;133
Tianjin;China;2020-03-11T02:18:14;136;3;131
Shanxi;China;2020-03-11T02:18:14;133;0;131
Gansu;China;2020-03-11T14:33:03;127;2;88
Hong Kong;China;2020-03-11T18:52:03;126;3;65
Liaoning;China;2020-03-11T02:18:14;125;1;111
;Israel;2020-03-11T21:13:18;109;0;4
;Greece;2020-03-11T23:53:02;99;1;0
Massachusetts;US;2020-03-11T22:53:03;95;0;1
Jilin;China;2020-03-11T02:18:14;93;1;91
;Czechia;2020-03-11T22:13:12;91;0;0
;Iceland;2020-03-11T13:53:24;85;0;1
Xinjiang;China;2020-03-11T02:18:14;76;3;73
Inner Mongolia;China;2020-03-11T03:53:03;75;1;71
Ningxia;China;2020-03-11T09:33:12;75;0;72
;United Arab Emirates;2020-03-11T20:53:02;74;0;17
;Kuwait;2020-03-11T09:53:03;72;0;2
;Iraq;2020-03-11T22:13:12;71;7;15
New South Wales;Australia;2020-03-11T18:52:04;65;2;4
;India;2020-03-11T22:13:12;62;1;4
;San Marino;2020-03-11T20:53:02;62;2;0
;Lebanon;2020-03-11T11:53:03;61;3;1
;Egypt;2020-03-11T22:13:12;60;1;27
;Finland;2020-03-11T13:33:10;59;0;1
;Portugal;2020-03-11T13:33:11;59;0;0
;Thailand;2020-03-11T09:13:10;59;1;34
;Slovenia;2020-03-11T14:13:11;57;0;0
;Philippines;2020-03-11T10:53:03;49;1;2
;Taiwan*;2020-03-11T20:13:14;48;1;17
Diamond Princess;US;2020-03-10T02:33:04;46;0;0
;Romania;2020-03-11T21:13:18;45;0;6
;Ireland;2020-03-11T21:33:03;43;1;0
Ontario;Canada;2020-03-11T18:52:04;41;0;4
British Columbia;Canada;2020-03-11T02:18:28;39;1;4
;Brazil;2020-03-11T22:13:12;38;0;0
;Vietnam;2020-03-11T20:53:02;38;0;16
;Indonesia;2020-03-11T11:14:26;34;1;2
Colorado;US;2020-03-11T22:53:03;34;0;0
;Poland;2020-03-11T21:13:21;31;0;0
Florida;US;2020-03-11T03:33:05;28;2;0
Illinois;US;2020-03-11T22:53:03;25;0;2
;Georgia;2020-03-11T22:13:12;24;0;0
;Chile;2020-03-11T22:13:12;23;0;0
Georgia;US;2020-03-11T18:52:03;23;0;0
New Jersey;US;2020-03-11T18:52:04;23;1;0
Victoria;Australia;2020-03-11T18:52:04;21;0;7
;Saudi Arabia;2020-03-11T13:33:11;21;0;1
Grand Princess;US;2020-03-10T02:33:04;21;0;0
Texas;US;2020-03-11T22:53:03;21;0;0
;Algeria;2020-03-09T10:13:06;20;0;0
Queensland;Australia;2020-03-11T18:52:04;20;0;8
;Russia;2020-03-11T18:52:03;20;0;3
;Argentina;2020-03-11T02:18:16;19;1;0
Alberta;Canada;2020-03-11T23:13:07;19;0;0
;Croatia;2020-03-11T22:13:12;19;0;0
;Pakistan;2020-03-11T21:13:23;19;0;2
Oregon;US;2020-03-11T22:53:03;19;0;0
Qinghai;China;2020-03-11T02:18:14;18;0;18
;Oman;2020-03-10T08:33:02;18;0;9
;Ecuador;2020-03-11T09:33:12;17;0;0
;Estonia;2020-03-11T22:13:12;16;0;0
Pennsylvania;US;2020-03-11T22:53:03;16;0;0
;Costa Rica;2020-03-11T09:33:12;13;0;0
;Hungary;2020-03-11T22:13:12;13;0;0
;South Africa;2020-03-11T10:33:03;13;0;0
Iowa;US;2020-03-11T02:53:03;13;0;0
;Albania;2020-03-11T13:33:11;12;1;0
;Serbia;2020-03-11T09:53:03;12;0;0
;Azerbaijan;2020-03-11T08:13:09;11;0;3
;Brunei;2020-03-11T22:13:12;11;0;0
;Peru;2020-03-10T16:33:13;11;0;0
Indiana;US;2020-03-11T22:53:03;11;0;0
Macau;China;2020-03-11T18:52:03;10;0;10
;Latvia;2020-03-11T13:53:24;10;0;1
;Slovakia;2020-03-11T13:33:11;10;0;0
District of Columbia;US;2020-03-11T22:53:03;10;0;0
South Carolina;US;2020-03-11T22:53:03;10;0;0
South Australia;Australia;2020-03-11T18:52:04;9;0;2
