Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;China;2020-03-21T10:13:08;67800;3139;58946
;Italy;2020-03-21T17:43:03;53578;4825;6072
;Spain;2020-03-21T13:13:30;25374;1375;2125
;Germany;2020-03-21T20:43:02;22213;84;233
;Iran;2020-03-21T11:13:12;20610;1556;7635
France;France;2020-03-21T20:43:02;14282;562;12
New York;US;2020-03-21T22:43:04;11710;60;0
;Korea, South;2020-03-21T11:13:12;8799;102;1540
;Switzerland;2020-03-21T20:43:02;6575;75;15
United Kingdom;United Kingdom;2020-03-21T20:43:03;5018;233;65
Netherlands;Netherlands;2020-03-21T14:43:04;3631;136;2
;Belgium;2020-03-21T11:13:12;2815;67;263
;Austria;2020-03-21T14:43:03;2814;8;9
;Norway;2020-03-21T17:13:07;2118;7;1
Washington;US;2020-03-21T22:43:04;1793;94;0
;Sweden;2020-03-21T14:43:03;1763;20;16
Guangdong;China;2020-03-21T12:43:08;1400;8;1325
California;US;2020-03-21T22:43:04;1364;24;0
New Jersey;US;2020-03-21T19:43:03;1327;16;0
Denmark;Denmark;2020-03-21T12:43:08;1326;13;1
;Portugal;2020-03-21T13:13:30;1280;12;5
Henan;China;2020-03-14T09:53:08;1273;22;1250
Zhejiang;China;2020-03-21T03:43:03;1236;1;1219
;Malaysia;2020-03-21T11:43:06;1183;4;114
;Brazil;2020-03-21T17:43:03;1021;15;2
Hunan;China;2020-03-14T08:33:03;1018;4;1014
;Japan;2020-03-21T20:43:02;1007;35;232
;Czechia;2020-03-21T20:43:02;995;0;6
Anhui;China;2020-03-11T02:18:14;990;6;984
Jiangxi;China;2020-03-12T02:13:04;935;1;934
;Israel;2020-03-21T11:43:06;883;1;36
Michigan;US;2020-03-21T22:43:04;788;5;0
;Ireland;2020-03-21T20:43:02;785;3;5
Shandong;China;2020-03-21T00:43:02;764;7;749
Illinois;US;2020-03-21T23:13:18;753;6;0
;Pakistan;2020-03-21T20:13:21;730;3;13
Diamond Princess;Cruise Ship;2020-03-21T02:13:32;712;8;325
;Luxembourg;2020-03-21T13:13:30;670;8;0
;Turkey;2020-03-21T01:43:03;670;9;0
Florida;US;2020-03-21T23:13:18;659;13;0
Jiangsu;China;2020-03-15T01:53:02;631;0;631
Louisiana;US;2020-03-21T15:43:05;585;16;0
Texas;US;2020-03-21T23:13:17;581;5;0
Chongqing;China;2020-03-15T03:53:04;576;6;570
Sichuan;China;2020-03-21T01:13:11;542;3;536
;Chile;2020-03-21T14:43:03;537;0;6
;Poland;2020-03-21T20:43:02;536;5;1
;Greece;2020-03-21T17:43:03;530;13;19
Massachusetts;US;2020-03-21T23:13:18;525;1;0
;Finland;2020-03-21T20:43:02;523;1;10
Georgia;US;2020-03-21T17:43:03;507;14;0
;Ecuador;2020-03-21T20:43:02;506;7;3
Beijing;China;2020-03-21T05:13:04;504;8;396
Heilongjiang;China;2020-03-20T02:13:46;484;13;463
;Qatar;2020-03-21T20:43:02;481;0;27
;Iceland;2020-03-21T17:13:18;473;1;22
;Indonesia;2020-03-21T11:43:06;450;38;15
New South Wales;Australia;2020-03-21T13:13:35;436;6;4
;Singapore;2020-03-21T13:13:30;432;2;140
British Columbia;Canada;2020-03-21T21:13:30;424;10;4
;Thailand;2020-03-21T12:13:19;411;1;42
Pennsylvania;US;2020-03-21T23:13:17;396;2;0
;Saudi Arabia;2020-03-21T14:43:03;392;0;16
Colorado;US;2020-03-21T23:13:18;390;4;0
;Slovenia;2020-03-21T14:43:03;383;1;0
Shanghai;China;2020-03-21T04:43:06;380;3;327
Ontario;Canada;2020-03-21T21:13:30;377;3;6
Tennessee;US;2020-03-21T23:13:18;371;1;0
;Romania;2020-03-21T13:13:32;367;0;52
;India;2020-03-21T17:43:03;330;4;23
Hebei;China;2020-03-13T11:09:03;318;6;310
;Peru;2020-03-21T20:43:02;318;5;1
;Philippines;2020-03-21T12:13:19;307;19;13
;Estonia;2020-03-21T12:13:19;306;0;1
;Russia;2020-03-21T14:43:03;306;1;12
;Bahrain;2020-03-21T17:43:03;305;1;125
Fujian;China;2020-03-21T01:13:10;303;1;295
;Egypt;2020-03-21T20:43:02;294;10;41
Wisconsin;US;2020-03-21T23:13:18;282;4;0
Hong Kong;China;2020-03-21T09:13:14;273;4;98
Guangxi;China;2020-03-20T00:43:02;254;2;250
North Carolina;US;2020-03-21T23:13:18;253;0;0
Shaanxi;China;2020-03-21T01:43:03;248;3;239
Ohio;US;2020-03-21T19:43:03;248;3;0
;South Africa;2020-03-21T12:13:19;240;0;0
Victoria;Australia;2020-03-21T13:13:35;229;0;8
Queensland;Australia;2020-03-21T13:13:35;221;0;8
;Iraq;2020-03-21T17:43:03;214;17;51
;Croatia;2020-03-21T17:43:03;206;1;5
;Mexico;2020-03-21T12:13:19;203;2;4
;Panama;2020-03-21T02:13:32;200;1;0
;Colombia;2020-03-21T17:43:03;196;0;1
Alberta;Canada;2020-03-21T02:43:03;195;1;0
Connecticut;US;2020-03-21T02:43:03;194;4;0
Maryland;US;2020-03-21T23:13:18;193;2;0
;Lebanon;2020-03-21T12:13:19;187;4;4
Quebec;Canada;2020-03-21T21:13:30;181;5;0
;Slovakia;2020-03-21T20:43:02;178;1;0
Yunnan;China;2020-03-16T23:53:02;176;2;172
;Kuwait;2020-03-21T12:13:19;176;0;27
;Serbia;2020-03-21T20:43:02;171;1;1
South Carolina;US;2020-03-21T23:13:17;171;3;0
Hainan;China;2020-03-16T14:38:45;168;6;161
;Bulgaria;2020-03-21T17:43:03;163;3;3
Nevada;US;2020-03-21T02:43:03;161;2;0
;Armenia;2020-03-21T12:13:19;160;0;1
;Argentina;2020-03-21T15:13:44;158;4;3
Virginia;US;2020-03-21T19:43:03;156;2;0
;Taiwan*;2020-03-21T07:43:02;153;2;28
;United Arab Emirates;2020-03-21T17:43:03;153;2;38
Guizhou;China;2020-03-18T01:53:03;146;2;144
;San Marino;2020-03-21T17:43:03;144;20;4
Mississippi;US;2020-03-21T17:13:44;140;1;0
;Algeria;2020-03-21T17:43:03;139;15;32
Minnesota;US;2020-03-21T19:43:03;138;1;0
Tianjin;China;2020-03-19T23:43:03;137;3;133
