Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;China;2020-03-20T07:43:02;67800;3133;58382
;Italy;2020-03-20T17:43:03;47021;4032;4440
;Spain;2020-03-20T17:43:03;20410;1043;1588
;Germany;2020-03-20T20:13:15;19848;67;180
;Iran;2020-03-20T15:13:21;19644;1433;6745
France;France;2020-03-20T22:43:03;12612;450;12
;Korea, South;2020-03-20T02:13:46;8652;94;1540
New York;US;2020-03-20T22:14:43;8310;42;0
;Switzerland;2020-03-20T18:13:09;5294;54;15
United Kingdom;United Kingdom;2020-03-20T20:13:18;3983;177;65
Netherlands;Netherlands;2020-03-20T18:13:12;2994;106;2
;Austria;2020-03-20T15:43:24;2388;6;9
;Belgium;2020-03-20T14:43:04;2257;37;1
;Norway;2020-03-20T18:13:09;1914;7;1
;Sweden;2020-03-20T15:43:24;1639;16;16
Washington;US;2020-03-20T23:43:03;1524;83;0
Guangdong;China;2020-03-20T09:13:30;1395;8;1323
Henan;China;2020-03-14T09:53:08;1273;22;1250
Denmark;Denmark;2020-03-20T18:13:12;1255;9;1
Zhejiang;China;2020-03-20T02:43:09;1234;1;1219
California;US;2020-03-20T23:43:03;1177;23;0
;Malaysia;2020-03-20T18:13:09;1030;3;87
;Portugal;2020-03-20T15:43:24;1020;6;5
Hunan;China;2020-03-14T08:33:03;1018;4;1014
Anhui;China;2020-03-11T02:18:14;990;6;984
;Japan;2020-03-20T14:13:08;963;33;191
Jiangxi;China;2020-03-12T02:13:04;935;1;934
New Jersey;US;2020-03-20T21:13:32;890;11;0
;Czechia;2020-03-20T20:13:15;833;0;4
;Brazil;2020-03-20T20:13:16;793;11;2
Shandong;China;2020-03-20T01:13:16;762;7;748
Diamond Princess;Cruise Ship;2020-03-18T10:33:04;712;7;325
;Israel;2020-03-20T14:43:04;705;0;14
;Ireland;2020-03-20T20:13:16;683;3;5
Jiangsu;China;2020-03-15T01:53:02;631;0;631
Illinois;US;2020-03-20T21:13:32;585;5;0
Chongqing;China;2020-03-15T03:53:04;576;6;570
Florida;US;2020-03-20T23:43:03;563;10;0
Michigan;US;2020-03-20T21:13:32;552;3;0
Sichuan;China;2020-03-20T01:43:03;541;3;536
Louisiana;US;2020-03-20T23:43:03;538;14;0
;Pakistan;2020-03-20T20:13:16;501;3;13
;Greece;2020-03-20T16:13:10;495;6;19
Beijing;China;2020-03-20T06:43:05;491;8;390
Heilongjiang;China;2020-03-20T02:13:46;484;13;463
;Luxembourg;2020-03-20T14:43:04;484;4;0
;Qatar;2020-03-20T20:13:16;470;0;10
;Finland;2020-03-20T15:43:24;450;0;10
;Chile;2020-03-20T20:13:17;434;0;6
;Poland;2020-03-20T20:13:17;425;5;1
Georgia;US;2020-03-20T19:13:30;420;13;0
Massachusetts;US;2020-03-20T23:43:03;413;1;0
;Iceland;2020-03-20T15:13:21;409;0;5
Texas;US;2020-03-20T23:43:03;394;5;0
;Singapore;2020-03-20T15:43:24;385;0;124
Shanghai;China;2020-03-20T00:43:02;371;3;326
;Indonesia;2020-03-20T14:43:04;369;32;15
;Ecuador;2020-03-20T20:43:02;367;5;0
Colorado;US;2020-03-20T23:43:03;363;4;0
;Turkey;2020-03-20T01:43:03;359;4;0
New South Wales;Australia;2020-03-20T21:13:30;353;6;4
;Saudi Arabia;2020-03-20T20:43:02;344;0;8
;Slovenia;2020-03-20T15:43:24;341;1;0
;Thailand;2020-03-20T14:13:08;322;1;42
Hebei;China;2020-03-13T11:09:03;318;6;310
Ontario;Canada;2020-03-20T16:13:25;308;2;5
;Romania;2020-03-20T15:13:21;308;0;25
Pennsylvania;US;2020-03-20T23:43:03;303;1;0
Fujian;China;2020-03-20T02:43:09;299;1;295
;Bahrain;2020-03-20T14:43:04;285;1;100
;Egypt;2020-03-20T20:43:02;285;8;39
;Estonia;2020-03-20T14:43:04;283;0;1
British Columbia;Canada;2020-03-20T03:13:18;271;8;4
Hong Kong;China;2020-03-20T09:43:03;256;4;98
Guangxi;China;2020-03-20T00:43:02;254;2;250
;Russia;2020-03-20T15:43:24;253;1;9
Shaanxi;China;2020-03-20T01:13:16;247;3;237
;India;2020-03-20T15:13:21;244;5;20
;Peru;2020-03-20T14:13:08;234;3;1
Tennessee;US;2020-03-20T23:43:03;233;0;0
;Philippines;2020-03-20T14:43:04;230;18;8
;Iraq;2020-03-20T20:43:02;208;17;49
Wisconsin;US;2020-03-20T21:13:29;207;3;0
;South Africa;2020-03-20T14:43:04;202;0;0
Connecticut;US;2020-03-20T21:13:29;194;3;0
Queensland;Australia;2020-03-20T21:13:30;184;0;8
Yunnan;China;2020-03-16T23:53:02;176;2;172
