Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;Mainland China;2020-03-03T11:43:02;67217;2835;36208
;South Korea;2020-03-03T09:43:02;5186;28;30
;Italy;2020-03-03T20:03:06;2502;79;160
;Iran;2020-03-03T14:23:03;2336;77;291
Guangdong;Mainland China;2020-03-03T10:23:10;1350;7;1101
Henan;Mainland China;2020-03-03T09:43:02;1272;22;1231
Zhejiang;Mainland China;2020-03-03T12:33:02;1213;1;1093
Hunan;Mainland China;2020-03-03T13:03:04;1018;4;906
Anhui;Mainland China;2020-03-03T14:33:03;990;6;936
Jiangxi;Mainland China;2020-03-03T02:03:11;935;1;870
Shandong;Mainland China;2020-03-03T07:53:03;758;6;511
Diamond Princess cruise ship;Others;2020-03-03T03:13:06;706;6;10
Jiangsu;Mainland China;2020-03-03T11:03:09;631;0;562
Chongqing;Mainland China;2020-03-03T23:13:05;576;6;490
Sichuan;Mainland China;2020-03-03T09:33:02;538;3;394
Heilongjiang;Mainland China;2020-03-03T13:03:04;480;13;366
Beijing;Mainland China;2020-03-03T02:03:11;414;8;288
Shanghai;Mainland China;2020-03-03T03:43:02;338;3;294
Hebei;Mainland China;2020-03-03T09:33:02;318;6;300
Fujian;Mainland China;2020-03-03T13:43:03;296;1;260
;Japan;2020-03-03T20:03:06;293;6;43
Guangxi;Mainland China;2020-03-03T00:23:14;252;2;202
Shaanxi;Mainland China;2020-03-02T08:03:12;245;1;216
;France;2020-03-03T15:23:03;204;4;12
;Germany;2020-03-03T20:03:06;196;0;16
Yunnan;Mainland China;2020-03-03T03:43:02;174;2;169
Hainan;Mainland China;2020-03-03T23:43:02;168;5;155
;Spain;2020-03-03T23:53:03;165;1;2
Guizhou;Mainland China;2020-03-02T01:13:06;146;2;114
Tianjin;Mainland China;2020-03-03T11:43:02;136;3;124
Shanxi;Mainland China;2020-03-03T23:13:05;133;0;124
Liaoning;Mainland China;2020-03-03T14:33:03;125;1;106
;Singapore;2020-03-03T15:23:03;110;0;78
Hong Kong;Hong Kong;2020-03-03T11:53:01;100;2;37
Jilin;Mainland China;2020-03-02T15:03:23;93;1;83
Gansu;Mainland China;2020-03-03T13:43:03;91;2;86
Xinjiang;Mainland China;2020-03-03T07:33:03;76;3;68
Inner Mongolia;Mainland China;2020-03-03T09:23:02;75;1;59
Ningxia;Mainland China;2020-03-02T01:33:02;74;0;69
;Kuwait;2020-03-02T20:33:02;56;0;0
;Switzerland;2020-03-03T16:43:02;56;0;2
;UK;2020-03-03T15:13:26;51;0;8
;Bahrain;2020-03-02T20:33:02;49;0;0
Unassigned Location (From Diamond Princess);US;2020-03-02T19:53:03;45;0;0
;Thailand;2020-03-02T06:23:04;43;1;31
Taiwan;Taiwan;2020-03-03T06:43:02;42;1;12
;Malaysia;2020-03-03T12:33:02;36;0;22
;Iraq;2020-03-03T20:03:06;32;0;0
;Norway;2020-03-03T14:33:03;32;0;0
;United Arab Emirates;2020-03-03T23:43:02;27;0;5
;Netherlands;2020-03-03T15:13:26;24;0;0
;Austria;2020-03-03T15:13:26;21;0;0
;Sweden;2020-03-03T15:13:26;21;0;0
King County, WA;US;2020-03-03T20:23:05;21;6;1
Toronto, ON;Canada;2020-03-03T20:03:08;19;0;2
Qinghai;Mainland China;2020-02-21T04:43:02;18;0;18
;Vietnam;2020-02-25T08:53:02;16;0;16
New South Wales;Australia;2020-03-03T15:13:26;13;0;4
;Belgium;2020-03-03T15:13:26;13;0;1
;Lebanon;2020-03-02T20:53:02;13;0;0
;Israel;2020-03-03T04:23:07;12;0;1
;Oman;2020-03-03T15:23:03;12;0;2
Queensland;Australia;2020-03-03T15:23:03;11;0;1
;Iceland;2020-03-03T15:13:26;11;0;0
Santa Clara, CA;US;2020-03-03T23:33:03;11;0;1
Macau;Macau;2020-03-03T12:33:02;10;0;9
;San Marino;2020-03-03T15:23:03;10;1;0
Victoria;Australia;2020-03-02T00:53:03;9;0;4
British Columbia;Canada;2020-03-03T23:53:03;9;0;3
;Croatia;2020-03-03T09:53:08;9;0;0
;Ecuador;2020-03-03T15:13:26;7;0;0
;Greece;2020-03-01T23:23:02;7;0;0
;Qatar;2020-03-03T03:23:03;7;0;0
;Denmark;2020-03-03T15:13:26;6;0;0
;Finland;2020-03-01T23:23:02;6;0;1
Snohomish County, WA;US;2020-03-03T20:23:05;6;1;0
;Algeria;2020-03-03T03:23:03;5;0;0
;Czech Republic;2020-03-03T15:13:26;5;0;0
;India;2020-03-02T22:33:09;5;0;3
;Mexico;2020-03-03T10:03:04;5;0;1
;Pakistan;2020-03-03T04:33:03;5;0;0
Cook County, IL;US;2020-03-02T20:33:02;4;0;2
South Australia;Australia;2020-02-29T02:03:10;3;0;2
;Azerbaijan;2020-03-01T02:43:03;3;0;0
;Georgia;2020-03-01T15:43:03;3;0;0
;Philippines;2020-02-12T07:43:02;3;1;1
;Romania;2020-03-03T00:23:16;3;0;0
;Russia;2020-03-02T21:23:04;3;0;2
Western Australia;Australia;2020-03-01T02:43:03;2;1;0
;Brazil;2020-02-29T21:03:05;2;0;0
;Egypt;2020-03-01T23:33:03;2;0;1
;Estonia;2020-03-03T23:53:03;2;0;0
;Indonesia;2020-03-02T18:03:04;2;0;0
;Ireland;2020-03-03T23:53:03;2;0;0
;Portugal;2020-03-03T15:33:02;2;0;0
;Senegal;2020-03-03T23:53:03;2;0;0
Fulton County, GA;US;2020-03-03T03:33:02;2;0;0
Grafton County, NH;US;2020-03-03T23:33:03;2;0;0
Hillsborough, FL;US;2020-03-03T18:33:02;2;0;0
Providence, RI;US;2020-03-02T03:43:02;2;0;0
Sacramento County, CA;US;2020-02-27T20:33:02;2;0;0
San Benito, CA;US;2020-02-03T03:53:02;2;0;0
San Diego County, CA;US;2020-02-21T05:43:02;2;0;1
San Mateo, CA;US;2020-03-03T00:43:02;2;0;0
Washington County, OR;US;2020-03-03T03:03:02;2;0;0
;Afghanistan;2020-02-24T23:33:02;1;0;0
;Andorra;2020-03-02T20:23:16;1;0;0
;Argentina;2020-03-03T17:43:02;1;0;0
;Armenia;2020-03-01T19:53:02;1;0;0
Tasmania;Australia;2020-03-02T20:53:02;1;0;0
;Belarus;2020-02-28T16:23:03;1;0;0
;Cambodia;2020-02-12T07:43:02;1;0;1
 Montreal, QC;Canada;2020-02-28T05:23:07;1;0;0
London, ON;Canada;2020-02-12T18:53:03;1;0;1
;Chile;2020-03-03T20:33:02;1;0;0
;Dominican Republic;2020-03-02T16:33:02;1;0;0
;Jordan;2020-03-03T15:33:02;1;0;0
;Latvia;2020-03-02T20:13:49;1;0;0
;Lithuania;2020-02-28T16:23:03;1;0;0
;Luxembourg;2020-03-03T00:23:16;1;0;0
Tibet;Mainland China;2020-02-12T06:43:02;1;0;1
;Monaco;2020-02-29T00:33:01;1;0;0
;Morocco;2020-03-03T15:33:02;1;0;0
;Nepal;2020-02-12T14:43:03;1;0;1
;New Zealand;2020-02-28T16:23:03;1;0;0
;Nigeria;2020-02-28T16:23:03;1;0;0
;North Macedonia;2020-02-27T16:23:03;1;0;0
;Saudi Arabia;2020-03-02T23:53:02;1;0;0
;Sri Lanka;2020-02-08T03:43:03;1;0;1
 Norfolk County, MA;US;2020-03-03T14:33:03;1;0;0
Berkeley, CA;US;2020-03-03T23:53:03;1;0;0
Boston, MA;US;2020-02-28T21:13:12;1;0;1
Humboldt County, CA;US;2020-02-21T05:13:09;1;0;0
Los Angeles, CA;US;2020-02-01T19:53:03;1;0;0
Madison, WI;US;2020-03-03T15:53:03;1;0;1
Maricopa County, AZ;US;2020-03-03T17:33:02;1;0;0
New York City, NY;US;2020-03-02T01:53:03;1;0;0
Orange, CA;US;2020-02-01T19:53:03;1;0;0
Placer County, CA;US;2020-03-02T23:53:02;1;0;0
San Antonio, TX;US;2020-02-13T18:53:02;1;0;0
Sarasota, FL;US;2020-03-02T03:23:06;1;0;0
Sonoma County, CA;US;2020-03-02T20:53:02;1;0;0
Tempe, AZ;US;2020-02-25T21:23:03;1;0;1
