Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;Mainland China;2020-03-06T14:23:04;67592;2931;42033
;South Korea;2020-03-06T13:33:03;6593;42;135
;Iran;2020-03-06T12:23:04;4747;124;913
;Italy;2020-03-06T17:33:03;4636;197;523
Guangdong;Mainland China;2020-03-06T12:53:03;1352;7;1216
Henan;Mainland China;2020-03-06T12:43:03;1272;22;1244
Zhejiang;Mainland China;2020-03-06T10:23:03;1215;1;1147
Hunan;Mainland China;2020-03-06T11:03:10;1018;4;955
Anhui;Mainland China;2020-03-06T03:23:06;990;6;979
Jiangxi;Mainland China;2020-03-06T14:23:04;935;1;909
Shandong;Mainland China;2020-03-06T11:03:10;758;6;618
Diamond Princess cruise ship;Others;2020-03-06T01:29:39;696;6;40
;Germany;2020-03-06T17:53:03;670;0;17
;France;2020-03-06T20:13:13;653;9;12
Jiangsu;Mainland China;2020-03-06T10:23:03;631;0;594
Chongqing;Mainland China;2020-03-06T11:03:10;576;6;513
Sichuan;Mainland China;2020-03-06T12:53:03;539;3;442
Heilongjiang;Mainland China;2020-03-06T14:23:04;481;13;396
Beijing;Mainland China;2020-03-06T12:53:03;422;8;299
;Japan;2020-03-06T20:13:13;420;6;46
;Spain;2020-03-06T20:13:13;400;5;2
Shanghai;Mainland China;2020-03-06T06:03:13;342;3;306
Hebei;Mainland China;2020-03-06T03:23:06;318;6;305
Fujian;Mainland China;2020-03-06T12:53:03;296;1;284
Guangxi;Mainland China;2020-03-06T00:33:02;252;2;217
Shaanxi;Mainland China;2020-03-06T10:23:03;245;1;226
;Switzerland;2020-03-06T15:23:19;214;1;3
Yunnan;Mainland China;2020-03-06T03:23:06;174;2;170
Hainan;Mainland China;2020-03-05T06:13:10;168;6;158
;UK;2020-03-06T15:33:03;163;2;8
Guizhou;Mainland China;2020-03-02T01:13:06;146;2;114
Tianjin;Mainland China;2020-03-05T03:33:27;136;3;128
Shanxi;Mainland China;2020-03-05T14:53:03;133;0;126
;Singapore;2020-03-06T13:03:12;130;0;78
;Netherlands;2020-03-06T13:23:06;128;1;0
Liaoning;Mainland China;2020-03-03T14:33:03;125;1;106
Gansu;Mainland China;2020-03-06T14:43:15;119;2;87
;Belgium;2020-03-06T12:33:03;109;0;1
;Norway;2020-03-06T16:33:04;108;0;0
Hong Kong;Hong Kong;2020-03-06T23:13:06;107;2;46
;Sweden;2020-03-06T13:03:12;101;0;0
Jilin;Mainland China;2020-03-06T10:23:03;93;1;90
;Malaysia;2020-03-06T12:33:03;83;0;22
Xinjiang;Mainland China;2020-03-06T05:53:03;76;3;71
Inner Mongolia;Mainland China;2020-03-05T23:53:01;75;1;65
Ningxia;Mainland China;2020-03-06T12:53:03;75;0;71
;Bahrain;2020-03-06T15:33:03;60;0;4
;Kuwait;2020-03-05T13:43:04;58;0;0
King County, WA;US;2020-03-06T23:13:07;58;12;1
;Austria;2020-03-06T16:33:04;55;0;0
;Thailand;2020-03-06T08:33:03;48;1;31
;Greece;2020-03-06T13:03:12;45;0;0
Taiwan;Taiwan;2020-03-06T12:43:03;45;1;12
Unassigned Location (From Diamond Princess);US;2020-03-02T19:53:03;45;0;0
;Iceland;2020-03-06T15:33:03;43;0;0
;Iraq;2020-03-06T13:23:06;40;3;0
;India;2020-03-06T13:03:12;31;0;3
;United Arab Emirates;2020-03-05T23:53:02;29;0;5
New South Wales;Australia;2020-03-06T04:53:02;26;1;4
Toronto, ON;Canada;2020-03-06T20:53:02;24;0;2
;Denmark;2020-03-06T13:03:12;23;0;1
;Lebanon;2020-03-06T20:33:03;22;0;1
British Columbia;Canada;2020-03-06T04:43:03;21;0;3
;Israel;2020-03-06T20:33:03;21;0;2
;San Marino;2020-03-05T13:53:03;21;1;0
Santa Clara, CA;US;2020-03-05T22:53:03;20;0;1
Snohomish County, WA;US;2020-03-06T23:13:07;19;1;0
Westchester County, NY;US;2020-03-06T15:43:03;19;0;0
;Czech Republic;2020-03-06T16:33:04;18;0;0
;Ireland;2020-03-06T20:43:03;18;0;0
Qinghai;Mainland China;2020-02-21T04:43:02;18;0;18
;Algeria;2020-03-06T01:29:39;17;0;0
;Oman;2020-03-05T17:53:02;16;0;2
;Palestine;2020-03-06T20:33:03;16;0;0
New York County, NY;US;2020-03-06T19:13:40;16;0;0
;Vietnam;2020-02-25T08:53:02;16;0;16
;Egypt;2020-03-06T13:03:13;15;0;1
;Finland;2020-03-06T13:03:12;15;0;1
Queensland;Australia;2020-03-05T17:33:06;13;0;8
;Brazil;2020-03-06T20:33:03;13;0;0
;Ecuador;2020-03-05T17:53:02;13;0;0
;Portugal;2020-03-06T20:33:03;13;0;0
;Russia;2020-03-06T20:43:03;13;0;2
Los Angeles, CA;US;2020-03-06T23:13:07;13;0;0
;Croatia;2020-03-06T08:33:03;11;0;0
Victoria;Australia;2020-03-05T18:33:03;10;0;7
;Estonia;2020-03-06T13:03:13;10;0;0
Macau;Macau;2020-03-06T10:23:03;10;0;10
;Romania;2020-03-06T16:43:04;9;0;1
;Qatar;2020-03-04T00:03:15;8;0;0
South Australia;Australia;2020-03-06T04:23:08;7;0;2
;Slovenia;2020-03-06T15:33:03;7;0;0
;Azerbaijan;2020-03-05T13:53:03;6;0;0
