Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;China;2020-03-19T10:13:14;67800;3130;57682
;Italy;2020-03-19T17:43:03;41035;3405;4440
;Iran;2020-03-19T11:33:29;18407;1284;5710
;Spain;2020-03-19T20:13:08;17963;830;1107
;Germany;2020-03-19T20:13:08;15320;44;113
France;France;2020-03-19T20:43:02;10871;243;12
;Korea, South;2020-03-19T02:13:17;8565;91;1540
New York;US;2020-03-19T23:43:04;5365;34;0
;Switzerland;2020-03-19T21:13:15;4075;41;15
United Kingdom;United Kingdom;2020-03-19T17:13:27;2689;137;65
Netherlands;Netherlands;2020-03-19T14:53:06;2460;76;2
;Austria;2020-03-19T14:53:05;2013;6;9
;Belgium;2020-03-19T11:13:17;1795;21;31
;Norway;2020-03-19T17:13:14;1746;7;1
;Sweden;2020-03-19T15:13:27;1439;11;16
Guangdong;China;2020-03-19T01:13:06;1378;8;1318
Washington;US;2020-03-19T23:43:04;1376;74;0
Henan;China;2020-03-14T09:53:08;1273;22;1250
Zhejiang;China;2020-03-19T10:13:14;1233;1;1217
Denmark;Denmark;2020-03-19T17:13:42;1151;6;1
Hunan;China;2020-03-14T08:33:03;1018;4;1014
Anhui;China;2020-03-11T02:18:14;990;6;984
California;US;2020-03-19T21:13:40;952;18;0
Jiangxi;China;2020-03-12T02:13:04;935;1;934
;Japan;2020-03-19T10:13:15;924;29;150
;Malaysia;2020-03-19T10:13:15;900;2;75
;Portugal;2020-03-19T15:13:27;785;3;3
Shandong;China;2020-03-19T01:02:56;761;7;747
New Jersey;US;2020-03-19T23:43:04;742;9;0
Diamond Princess;Cruise Ship;2020-03-18T10:33:04;712;7;325
;Czechia;2020-03-19T18:13:20;694;0;3
;Israel;2020-03-19T20:43:02;677;0;11
Jiangsu;China;2020-03-15T01:53:02;631;0;631
;Brazil;2020-03-19T20:43:02;621;6;2
Chongqing;China;2020-03-15T03:53:04;576;6;570
;Ireland;2020-03-19T18:43:03;557;3;5
Sichuan;China;2020-03-19T10:13:14;540;3;536
Heilongjiang;China;2020-03-19T01:02:56;483;13;460
Beijing;China;2020-03-19T05:13:10;480;8;380
;Qatar;2020-03-19T20:13:08;460;0;4
;Pakistan;2020-03-19T20:13:08;454;2;13
Illinois;US;2020-03-19T21:13:40;422;4;0
;Greece;2020-03-19T11:13:18;418;6;8
Florida;US;2020-03-19T23:43:04;417;9;0
;Finland;2020-03-19T16:13:36;400;0;10
Louisiana;US;2020-03-19T23:43:04;392;10;0
Shanghai;China;2020-03-19T01:02:56;363;3;326
;Poland;2020-03-19T20:13:28;355;5;1
;Singapore;2020-03-19T16:13:36;345;0;114
;Luxembourg;2020-03-19T11:13:18;335;4;0
Michigan;US;2020-03-19T23:43:04;334;3;0
;Iceland;2020-03-19T11:33:29;330;1;5
Massachusetts;US;2020-03-19T21:13:35;328;0;0
Hebei;China;2020-03-13T11:09:03;318;6;310
;Indonesia;2020-03-19T10:13:16;311;25;11
New South Wales;Australia;2020-03-19T11:13:54;307;5;4
Fujian;China;2020-03-11T02:18:14;296;1;295
Georgia;US;2020-03-19T21:13:35;287;10;0
;Slovenia;2020-03-19T02:13:17;286;1;0
;Bahrain;2020-03-19T18:13:29;278;1;100
;Romania;2020-03-19T11:33:29;277;0;25
Colorado;US;2020-03-19T23:43:04;277;4;0
;Saudi Arabia;2020-03-19T20:43:02;274;0;6
;Thailand;2020-03-19T10:13:16;272;1;42
;Estonia;2020-03-19T11:33:29;267;0;1
Texas;US;2020-03-19T21:13:35;260;5;0
Ontario;Canada;2020-03-19T16:43:04;257;1;5
;Egypt;2020-03-19T20:43:02;256;6;32
Guangxi;China;2020-03-18T00:33:02;253;2;250
Shaanxi;China;2020-03-18T03:53:02;246;3;237
;Chile;2020-03-18T13:33:12;238;0;0
;Peru;2020-03-19T18:13:29;234;0;1
British Columbia;Canada;2020-03-19T03:13:26;231;7;4
;Philippines;2020-03-19T11:13:24;217;17;8
Hong Kong;China;2020-03-19T09:53:20;208;4;95
Pennsylvania;US;2020-03-19T21:13:35;206;1;0
;Ecuador;2020-03-19T17:13:14;199;3;0
;Russia;2020-03-19T16:13:36;199;1;9
;India;2020-03-19T20:43:02;194;4;15
;Iraq;2020-03-19T20:13:34;192;13;43
;Turkey;2020-03-19T16:43:03;192;3;0
Yunnan;China;2020-03-16T23:53:02;176;2;172
Hainan;China;2020-03-16T14:38:45;168;6;161
Connecticut;US;2020-03-19T23:43:04;159;2;0
Wisconsin;US;2020-03-19T23:43:04;159;0;0
;Lebanon;2020-03-19T18:43:03;157;4;4
Tennessee;US;2020-03-19T21:13:40;154;0;0
;South Africa;2020-03-19T16:43:03;150;0;0
;Kuwait;2020-03-19T10:13:23;148;0;18
Guizhou;China;2020-03-18T01:53:03;146;2;144
Queensland;Australia;2020-03-19T11:13:54;144;0;8
;United Arab Emirates;2020-03-19T16:13:36;140;0;31
Tianjin;China;2020-03-19T23:43:03;137;3;133
Gansu;China;2020-03-19T14:33:08;134;2;91
Shanxi;China;2020-03-13T11:09:03;133;0;133
Liaoning;China;2020-03-18T02:13:06;125;1;122
;Slovakia;2020-03-19T16:13:36;123;1;0
North Carolina;US;2020-03-19T23:43:04;123;0;0
Victoria;Australia;2020-03-18T12:13:09;121;0;8
Quebec;Canada;2020-03-19T17:43:04;121;1;0
Alberta;Canada;2020-03-19T03:13:26;119;0;0
;San Marino;2020-03-18T02:53:03;119;11;4
Ohio;US;2020-03-19T21:43:03;119;0;0
;Mexico;2020-03-19T10:53:03;118;1;4
;Armenia;2020-03-19T10:53:03;115;0;1
;Panama;2020-03-19T02:33:08;109;1;0
;Taiwan*;2020-03-19T06:53:03;108;1;26
Maryland;US;2020-03-19T21:43:03;107;1;0
;Croatia;2020-03-19T16:43:03;105;1;5
;Serbia;2020-03-19T18:13:29;103;0;1
;Colombia;2020-03-19T10:53:03;102;0;1
Virginia;US;2020-03-19T23:43:04;99;2;0
;Argentina;2020-03-19T10:53:03;97;3;3
Nevada;US;2020-03-19T21:43:03;95;1;0
;Bulgaria;2020-03-19T10:53:03;94;3;0
Jilin;China;2020-03-16T00:22:10;93;1;92
Minnesota;US;2020-03-19T18:43:03;89;0;0
Oregon;US;2020-03-19T21:43:03;88;3;0
;Algeria;2020-03-19T16:13:36;87;9;32
;Latvia;2020-03-19T10:53:03;86;0;1
;Vietnam;2020-03-19T20:13:34;85;0;16
South Carolina;US;2020-03-19T23:43:04;81;1;0
Utah;US;2020-03-19T23:43:04;80;0;0
;Uruguay;2020-03-19T02:13:17;79;0;0
Alabama;US;2020-03-19T23:43:04;78;0;0
Xinjiang;China;2020-03-11T02:18:14;76;3;73
;Brunei;2020-03-19T11:13:33;75;0;0
Inner Mongolia;China;2020-03-19T01:03:02;75;1;74
Ningxia;China;2020-03-16T14:38:45;75;0;75
;Hungary;2020-03-19T10:53:03;73;1;2
Faroe Islands;Denmark;2020-03-19T10:53:03;72;0;0
;Costa Rica;2020-03-19T02:53:32;69;1;0
;Jordan;2020-03-19T18:13:29;69;0;1
;Cyprus;2020-03-19T18:13:29;67;0;0
;Albania;2020-03-19T11:33:30;64;2;0
;Bosnia and Herzegovina;2020-03-19T17:13:24;63;0;2
;Morocco;2020-03-19T20:43:02;63;2;1
Arkansas;US;2020-03-19T21:43:03;62;0;0
;Sri Lanka;2020-03-19T16:13:36;60;0;3
Indiana;US;2020-03-19T23:43:04;60;2;0
;Andorra;2020-03-19T01:03:40;53;0;1
;Malta;2020-03-19T11:33:30;53;0;2
Western Australia;Australia;2020-03-19T11:13:54;52;1;0
Maine;US;2020-03-19T18:43:03;52;0;0
;Belarus;2020-03-18T11:33:04;51;0;5
Mississippi;US;2020-03-19T23:43:04;50;1;0
;Moldova;2020-03-19T16:43:03;49;1;1
;North Macedonia;2020-03-19T16:43:03;48;0;1
;Oman;2020-03-19T20:13:34;48;0;12
Diamond Princess;US;2020-03-16T16:53:06;47;0;0
Arizona;US;2020-03-19T23:43:04;45;0;0
;Azerbaijan;2020-03-19T16:13:36;44;1;6
;Kazakhstan;2020-03-19T10:53:03;44;0;0
Iowa;US;2020-03-19T23:43:04;44;0;0
New Hampshire;US;2020-03-19T23:43:04;44;0;0
Oklahoma;US;2020-03-19T23:43:04;44;1;0
Rhode Island;US;2020-03-19T23:43:04;44;0;0
South Australia;Australia;2020-03-19T11:13:54;42;0;3
;Venezuela;2020-03-19T20:13:34;42;0;0
;Georgia;2020-03-19T10:53:03;40;0;1
District of Columbia;US;2020-03-19T02:33:09;40;0;0
;Tunisia;2020-03-19T18:13:29;39;1;0
;Cambodia;2020-03-19T10:53:03;37;0;1
Kentucky;US;2020-03-19T23:43:04;37;2;0
;Lithuania;2020-03-19T18:13:29;36;0;1
New Mexico;US;2020-03-19T21:43:03;35;0;0
;Dominican Republic;2020-03-19T02:53:32;34;2;0
Kansas;US;2020-03-19T21:43:03;34;1;0
;Burkina Faso;2020-03-19T11:33:30;33;1;0
;Guadeloupe;2020-03-19T09:33:04;33;0;0
;Senegal;2020-03-18T11:33:04;31;0;2
Missouri;US;2020-03-19T23:43:04;31;1;0
Delaware;US;2020-03-19T23:43:04;30;0;0
Nebraska;US;2020-03-19T02:33:09;29;0;0
;Liechtenstein;2020-03-18T19:14:33;28;0;0
;New Zealand;2020-03-19T02:33:08;28;0;0
;Martinique;2020-03-19T02:33:08;23;1;0
;Uzbekistan;2020-03-19T10:53:03;23;0;0
;Afghanistan;2020-03-17T11:53:10;22;0;1
Grand Princess;US;2020-03-19T19:13:18;22;0;0
Vermont;US;2020-03-19T21:43:03;22;0;0
Qinghai;China;2020-03-11T02:18:14;18;0;18
North Dakota;US;2020-03-19T23:43:04;18;0;0
Wyoming;US;2020-03-19T04:33:18;18;0;0
;Bangladesh;2020-03-19T10:53:03;17;1;3
Manitoba;Canada;2020-03-19T03:13:26;17;0;0
Macau;China;2020-03-19T01:02:56;17;0;10
Saskatchewan;Canada;2020-03-19T01:03:51;16;0;0
Hawaii;US;2020-03-19T02:33:09;16;0;0
;Ukraine;2020-03-19T01:03:45;16;2;0
;Jamaica;2020-03-19T02:33:08;15;1;2
Nova Scotia;Canada;2020-03-19T20:43:03;14;0;0
