Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;Mainland China;2020-03-10T15:13:05;67760;3024;47743
;Italy;2020-03-10T17:53:02;10149;631;724
;Iran (Islamic Republic of);2020-03-10T19:13:20;8042;291;2731
;Republic of Korea;2020-03-10T19:13:20;7513;54;247
;France;2020-03-10T18:53:02;1784;33;12
;Spain;2020-03-10T23:53:02;1695;35;32
;Germany;2020-03-10T18:53:02;1457;2;18
Guangdong;Mainland China;2020-03-10T09:13:07;1353;8;1274
Henan;Mainland China;2020-03-08T05:03:02;1272;22;1247
Zhejiang;Mainland China;2020-03-10T10:33:02;1215;1;1191
Hunan;Mainland China;2020-03-10T08:33:02;1018;4;990
Anhui;Mainland China;2020-03-08T05:13:06;990;6;984
Jiangxi;Mainland China;2020-03-10T01:33:02;935;1;927
Shandong;Mainland China;2020-03-10T07:33:03;758;6;719
Diamond Princess cruise ship;Others;2020-03-06T01:29:39;696;6;40
Jiangsu;Mainland China;2020-03-10T08:13:08;631;0;627
;Japan;2020-03-10T16:13:16;581;10;101
Chongqing;Mainland China;2020-03-10T23:53:02;576;6;547
Sichuan;Mainland China;2020-03-10T10:13:17;539;3;478
;Switzerland;2020-03-10T23:53:02;491;3;3
Heilongjiang;Mainland China;2020-03-10T00:13:18;481;13;434
Beijing;Mainland China;2020-03-10T01:13:07;429;8;320
;Norway;2020-03-10T23:53:02;400;0;1
;Netherlands;2020-03-10T13:53:06;382;4;0
;UK;2020-03-10T23:53:02;382;6;18
;Sweden;2020-03-10T23:53:02;355;0;1
Shanghai;Mainland China;2020-03-10T06:13:14;344;3;319
Hebei;Mainland China;2020-03-07T13:03:05;318;6;307
Fujian;Mainland China;2020-03-07T13:03:05;296;1;295
;Belgium;2020-03-10T11:53:03;267;0;1
Washington;US;2020-03-10T22:13:11;267;23;1
;Denmark;2020-03-10T17:33:34;262;0;1
Guangxi;Mainland China;2020-03-10T00:53:02;252;2;234
Shaanxi;Mainland China;2020-03-10T08:53:02;245;1;227
;Austria;2020-03-10T16:13:16;182;0;4
Yunnan;Mainland China;2020-03-06T03:23:06;174;2;170
New York;US;2020-03-10T17:13:27;173;0;0
Hainan;Mainland China;2020-03-08T04:33:02;168;6;159
;Singapore;2020-03-10T05:13:07;160;0;78
Guizhou;Mainland China;2020-03-10T01:13:07;146;2;129
California;US;2020-03-10T19:13:28;144;2;2
Tianjin;Mainland China;2020-03-10T10:13:25;136;3;131
Shanxi;Mainland China;2020-03-10T23:53:02;133;0;131
;Malaysia;2020-03-10T16:33:13;129;0;24
Gansu;Mainland China;2020-03-10T14:33:13;125;2;88
Liaoning;Mainland China;2020-03-10T04:13:09;125;1;111
Hong Kong;Hong Kong SAR;2020-03-10T23:53:02;120;3;65
;Bahrain;2020-03-10T18:53:02;110;0;22
Jilin;Mainland China;2020-03-09T14:33:03;93;1;91
Massachusetts;US;2020-03-10T22:13:11;92;0;1
;Greece;2020-03-10T10:53:03;89;0;0
Xinjiang;Mainland China;2020-03-08T05:33:02;76;3;73
Inner Mongolia;Mainland China;2020-03-08T05:13:06;75;1;70
Ningxia;Mainland China;2020-03-06T12:53:03;75;0;71
;United Arab Emirates;2020-03-10T11:13:12;74;0;12
;Iraq;2020-03-10T05:13:07;71;7;3
;Iceland;2020-03-10T12:53:02;69;0;1
;Kuwait;2020-03-10T10:13:28;69;0;1
;Egypt;2020-03-10T05:13:07;59;1;1
;Israel;2020-03-10T12:53:02;58;0;4
;India;2020-03-10T10:13:28;56;0;4
New South Wales;Australia;2020-03-10T14:13:14;55;2;4
;Thailand;2020-03-10T08:53:03;53;1;33
;San Marino;2020-03-10T05:13:07;51;2;0
Taiwan;Taipei and environs;2020-03-10T19:13:15;47;1;17
Diamond Princess;US;2020-03-10T02:33:04;46;0;0
;Czech Republic;2020-03-10T13:33:14;41;0;0
;Lebanon;2020-03-10T10:53:03;41;1;1
;Portugal;2020-03-10T12:53:02;41;0;0
;Finland;2020-03-10T10:13:30;40;0;1
Ontario;Canada;2020-03-10T17:13:32;36;0;4
;Ireland;2020-03-10T19:13:21;34;0;0
;Philippines;2020-03-10T10:13:30;33;1;2
British Columbia;Canada;2020-03-09T22:43:25;32;1;4
;Brazil;2020-03-10T16:53:13;31;0;0
;Slovenia;2020-03-10T16:13:26;31;0;0
;Viet Nam;2020-03-10T19:13:21;31;0;16
;Indonesia;2020-03-10T12:53:02;27;0;2
;Romania;2020-03-10T16:33:13;25;0;3
;occupied Palestinian territory;2020-03-10T19:13:21;25;0;0
;Qatar;2020-03-10T16:13:26;24;0;0
;Poland;2020-03-10T20:13:07;22;0;0
Grand Princess;US;2020-03-10T02:33:04;21;0;0
;Algeria;2020-03-09T10:13:06;20;0;0
;Saudi Arabia;2020-03-10T05:13:07;20;0;1
Queensland;Australia;2020-03-10T13:53:06;18;0;8
Victoria;Australia;2020-03-10T14:33:13;18;0;7
Qinghai;Mainland China;2020-02-21T04:43:02;18;0;18
;Oman;2020-03-10T08:33:02;18;0;9
;Argentina;2020-03-10T05:13:07;17;1;0
Georgia;US;2020-03-10T03:53:03;17;0;0
;Pakistan;2020-03-10T05:13:07;16;0;1
;Ecuador;2020-03-09T09:03:03;15;0;0
;Georgia;2020-03-09T10:13:06;15;0;0
Colorado;US;2020-03-10T18:33:03;15;0;0
Florida;US;2020-03-10T13:13:14;15;2;0
New Jersey;US;2020-03-10T18:13:16;15;1;0
Oregon;US;2020-03-10T19:53:13;15;0;0
;Croatia;2020-03-10T16:53:13;14;0;0
;Chile;2020-03-10T05:13:07;13;0;0
Texas;US;2020-03-10T04:13:13;13;0;0
;Estonia;2020-03-10T11:13:13;12;0;0
Illinois;US;2020-03-10T18:33:03;12;0;2
Pennsylvania;US;2020-03-10T18:13:16;12;0;0
;Azerbaijan;2020-03-10T16:13:27;11;0;0
;Peru;2020-03-10T16:33:13;11;0;0
;Albania;2020-03-10T12:53:02;10;0;0
Macau;Macao SAR;2020-03-10T19:13:20;10;0;10
;Russian Federation;2020-03-10T19:13:21;10;0;3
;Belarus;2020-03-10T16:13:27;9;0;3
;Costa Rica;2020-03-09T09:03:03;9;0;0
;Hungary;2020-03-09T09:43:03;9;0;0
;Latvia;2020-03-10T10:13:41;8;0;1
Iowa;US;2020-03-10T02:33:04;8;0;0
Maryland;US;2020-03-10T18:13:16;8;0;0
South Australia;Australia;2020-03-06T04:23:08;7;0;2
Alberta;Canada;2020-03-09T17:53:24;7;0;0
;Mexico;2020-03-10T05:13:07;7;0;4
