Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;China;2020-03-22T09:43:06;67800;3144;59433
;Italy;2020-03-22T18:13:20;59138;5476;7024
;Spain;2020-03-22T23:13:18;28768;1772;2575
;Germany;2020-03-22T23:43:02;24873;94;266
;Iran;2020-03-22T14:13:06;21638;1685;7931
France;France;2020-03-22T23:43:02;16018;674;2200
New York;US;2020-03-22T22:13:32;15793;117;0
;Korea, South;2020-03-22T11:13:17;8897;104;2909
;Switzerland;2020-03-22T23:13:18;7245;98;131
United Kingdom;United Kingdom;2020-03-22T22:43:03;5683;281;65
Netherlands;Netherlands;2020-03-22T14:13:10;4204;179;2
;Belgium;2020-03-22T14:13:06;3401;75;263
;Austria;2020-03-22T23:43:02;3244;16;9
;Norway;2020-03-22T23:13:18;2383;7;1
Washington;US;2020-03-22T23:13:22;1996;95;0
;Sweden;2020-03-22T16:43:07;1934;21;16
New Jersey;US;2020-03-22T19:43:03;1914;20;0
California;US;2020-03-22T22:13:28;1642;30;0
;Portugal;2020-03-22T14:13:06;1600;14;5
;Brazil;2020-03-22T23:43:02;1593;25;2
Guangdong;China;2020-03-22T02:43:02;1407;8;1329
Denmark;Denmark;2020-03-22T14:43:19;1395;13;1
;Malaysia;2020-03-22T11:13:17;1306;10;139
Henan;China;2020-03-14T09:53:08;1273;22;1250
Zhejiang;China;2020-03-22T02:43:02;1237;1;1219
;Turkey;2020-03-22T22:43:02;1236;30;0
;Czechia;2020-03-22T23:43:02;1120;1;6
;Japan;2020-03-22T16:13:11;1086;40;235
;Israel;2020-03-22T23:13:18;1071;1;37
Illinois;US;2020-03-22T22:13:32;1049;9;0
Michigan;US;2020-03-22T21:13:20;1037;9;0
Hunan;China;2020-03-14T08:33:03;1018;4;1014
Anhui;China;2020-03-11T02:18:14;990;6;984
Jiangxi;China;2020-03-22T02:43:02;936;1;934
;Ireland;2020-03-22T23:13:18;906;4;5
Louisiana;US;2020-03-22T17:43:06;837;20;0
Florida;US;2020-03-22T17:43:06;830;13;0
;Luxembourg;2020-03-22T16:13:11;798;8;6
;Ecuador;2020-03-22T23:43:03;789;14;3
;Pakistan;2020-03-22T23:13:18;776;5;5
Shandong;China;2020-03-22T08:13:31;766;7;750
Diamond Princess;Cruise Ship;2020-03-21T02:13:32;712;8;325
Massachusetts;US;2020-03-22T22:43:03;646;5;0
;Poland;2020-03-22T23:13:18;634;7;1
Jiangsu;China;2020-03-22T02:43:02;633;0;631
;Chile;2020-03-22T16:13:11;632;1;8
Texas;US;2020-03-22T22:43:03;627;6;0
;Finland;2020-03-22T16:13:11;626;1;10
;Greece;2020-03-22T16:43:07;624;15;19
Georgia;US;2020-03-22T17:43:06;600;23;0
;Thailand;2020-03-22T11:13:18;599;1;44
Chongqing;China;2020-03-22T11:13:15;577;6;570
;Iceland;2020-03-22T16:13:11;568;1;36
Sichuan;China;2020-03-22T02:13:13;543;3;536
New South Wales;Australia;2020-03-22T14:13:10;533;6;4
Beijing;China;2020-03-22T05:43:03;514;8;400
;Indonesia;2020-03-22T16:13:11;514;48;29
;Saudi Arabia;2020-03-22T16:13:11;511;0;16
Pennsylvania;US;2020-03-22T22:43:03;509;3;0
Tennessee;US;2020-03-22T22:43:03;505;2;0
;Qatar;2020-03-22T23:13:18;494;0;33
Heilongjiang;China;2020-03-22T04:43:03;484;13;466
Colorado;US;2020-03-22T17:43:06;476;6;0
;Singapore;2020-03-22T16:13:11;455;2;144
;Romania;2020-03-22T23:13:18;433;3;64
Ontario;Canada;2020-03-22T23:43:03;425;5;6
British Columbia;Canada;2020-03-21T21:13:30;424;10;4
;Slovenia;2020-03-22T23:13:18;414;2;0
;India;2020-03-22T23:13:18;396;7;27
Shanghai;China;2020-03-22T06:13:37;394;4;328
Wisconsin;US;2020-03-22T20:43:03;381;4;0
;Philippines;2020-03-22T11:13:20;380;25;17
;Russia;2020-03-22T16:13:11;367;0;16
;Peru;2020-03-22T23:13:18;363;5;1
Ohio;US;2020-03-22T22:43:03;355;3;0
;Bahrain;2020-03-22T16:13:11;332;2;149
;Egypt;2020-03-22T23:43:03;327;14;56
;Estonia;2020-03-22T16:13:11;326;0;2
Hebei;China;2020-03-22T00:13:05;319;6;310
Hong Kong;China;2020-03-22T09:43:06;317;4;100
Fujian;China;2020-03-22T02:13:13;307;1;295
North Carolina;US;2020-03-22T22:43:03;302;0;0
Victoria;Australia;2020-03-22T14:13:08;296;0;70
;South Africa;2020-03-22T23:13:18;274;0;0
Alberta;Canada;2020-03-22T23:43:03;259;1;0
Guangxi;China;2020-03-20T00:43:02;254;2;250
;Croatia;2020-03-22T16:43:07;254;1;5
;Mexico;2020-03-22T11:13:20;251;2;4
Shaanxi;China;2020-03-21T01:43:03;248;3;239
;Lebanon;2020-03-22T16:13:11;248;4;8
;Panama;2020-03-22T01:43:02;245;3;0
Maryland;US;2020-03-22T15:13:58;244;3;0
;Iraq;2020-03-22T16:43:07;233;20;57
;Colombia;2020-03-22T16:43:07;231;2;3
;Argentina;2020-03-22T15:13:49;225;4;3
Connecticut;US;2020-03-22T15:13:58;223;5;0
;Serbia;2020-03-22T23:13:18;222;2;1
Queensland;Australia;2020-03-21T13:13:35;221;0;8
Virginia;US;2020-03-22T22:43:03;221;6;0
Quebec;Canada;2020-03-22T23:43:03;219;5;0
Mississippi;US;2020-03-22T17:43:06;207;1;0
;Dominican Republic;2020-03-22T16:43:07;202;3;0
;Algeria;2020-03-22T16:43:07;201;17;65
Indiana;US;2020-03-22T20:43:03;201;6;0
South Carolina;US;2020-03-22T22:43:03;196;3;0
;Armenia;2020-03-22T23:43:03;194;0;2
Nevada;US;2020-03-22T19:43:03;190;2;0
;Kuwait;2020-03-22T15:13:52;188;0;27
;Bulgaria;2020-03-22T23:43:03;187;3;3
;Slovakia;2020-03-22T23:13:18;185;1;7
Utah;US;2020-03-22T22:43:03;181;1;0
Yunnan;China;2020-03-16T23:53:02;176;2;172
