Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;Mainland China;2020-03-05T14:53:03;67466;2902;40592
;South Korea;2020-03-05T09:03:09;6088;35;41
;Italy;2020-03-05T17:43:03;3858;148;414
;Iran;2020-03-05T13:43:04;3513;107;739
Guangdong;Mainland China;2020-03-05T09:23:03;1351;7;1181
Henan;Mainland China;2020-03-05T01:48:26;1272;22;1239
Zhejiang;Mainland China;2020-03-05T09:43:03;1215;1;1124
Hunan;Mainland China;2020-03-05T08:43:03;1018;4;938
Anhui;Mainland China;2020-03-05T04:33:02;990;6;970
Jiangxi;Mainland China;2020-03-05T01:16:58;935;1;901
Shandong;Mainland China;2020-03-05T14:53:03;758;6;578
Diamond Princess cruise ship;Others;2020-03-03T03:13:06;706;6;10
Jiangsu;Mainland China;2020-03-05T14:53:03;631;0;583
Chongqing;Mainland China;2020-03-05T23:23:02;576;6;512
Sichuan;Mainland China;2020-03-05T14:53:03;539;3;425
;Germany;2020-03-05T17:43:03;482;0;16
Heilongjiang;Mainland China;2020-03-05T00:23:06;481;13;379
Beijing;Mainland China;2020-03-04T23:23:01;418;8;297
;France;2020-03-05T15:13:22;377;6;12
;Japan;2020-03-05T13:43:04;360;6;43
Shanghai;Mainland China;2020-03-05T06:23:06;339;3;303
Hebei;Mainland China;2020-03-05T14:53:03;318;6;304
Fujian;Mainland China;2020-03-05T09:33:03;296;1;277
;Spain;2020-03-05T17:43:03;259;3;2
Guangxi;Mainland China;2020-03-05T10:03:08;252;2;214
Shaanxi;Mainland China;2020-03-05T06:03:08;245;1;224
Yunnan;Mainland China;2020-03-03T03:43:02;174;2;169
Hainan;Mainland China;2020-03-05T06:13:10;168;6;158
Guizhou;Mainland China;2020-03-02T01:13:06;146;2;114
Tianjin;Mainland China;2020-03-05T03:33:27;136;3;128
Shanxi;Mainland China;2020-03-05T14:53:03;133;0;126
Liaoning;Mainland China;2020-03-03T14:33:03;125;1;106
;Singapore;2020-03-05T13:43:04;117;0;78
;UK;2020-03-05T18:03:03;115;1;8
;Switzerland;2020-03-05T17:43:03;114;1;3
Hong Kong;Hong Kong;2020-03-05T00:23:07;105;2;43
Gansu;Mainland China;2020-03-05T15:13:13;102;2;87
;Sweden;2020-03-05T18:03:03;94;0;0
Jilin;Mainland China;2020-03-05T14:53:03;93;1;88
;Norway;2020-03-05T17:43:03;87;0;0
;Netherlands;2020-03-05T14:23:03;82;0;0
Xinjiang;Mainland China;2020-03-05T06:03:08;76;3;70
Inner Mongolia;Mainland China;2020-03-05T23:53:01;75;1;65
Ningxia;Mainland China;2020-03-04T01:33:07;75;0;69
;Kuwait;2020-03-05T13:43:04;58;0;0
;Bahrain;2020-03-05T13:53:03;55;0;0
King County, WA;US;2020-03-05T22:03:17;51;10;1
;Belgium;2020-03-05T13:53:03;50;0;1
;Malaysia;2020-03-04T13:03:08;50;0;22
;Thailand;2020-03-05T06:23:06;47;1;31
Unassigned Location (From Diamond Princess);US;2020-03-02T19:53:03;45;0;0
Taiwan;Taiwan;2020-03-05T14:53:03;44;1;12
;Austria;2020-03-05T17:53:02;41;0;0
;Iraq;2020-03-04T20:43:02;35;2;0
;Iceland;2020-03-05T13:53:03;34;0;0
;Greece;2020-03-05T14:23:03;31;0;0
;India;2020-03-05T13:53:03;30;0;3
;United Arab Emirates;2020-03-05T23:53:02;29;0;5
New South Wales;Australia;2020-03-04T20:43:03;22;1;4
Toronto, ON;Canada;2020-03-05T17:53:03;21;0;2
;San Marino;2020-03-05T13:53:03;21;1;0
Santa Clara, CA;US;2020-03-05T22:53:03;20;0;1
Qinghai;Mainland China;2020-02-21T04:43:02;18;0;18
Snohomish County, WA;US;2020-03-05T20:23:07;18;1;0
Westchester County, NY;US;2020-03-05T21:33:03;18;0;0
;Israel;2020-03-05T17:53:02;16;0;1
;Lebanon;2020-03-05T17:53:02;16;0;1
;Oman;2020-03-05T17:53:02;16;0;2
;Vietnam;2020-02-25T08:53:02;16;0;16
Queensland;Australia;2020-03-05T17:33:06;13;0;8
British Columbia;Canada;2020-03-05T04:43:03;13;0;3
;Ecuador;2020-03-05T17:53:02;13;0;0
;Algeria;2020-03-04T19:33:03;12;0;0
;Czech Republic;2020-03-05T17:53:02;12;0;0
;Finland;2020-03-05T13:53:03;12;0;1
